Label,alias1,alias2,alias3,alias4,alias5,alias6,alias7,alias8,alias9,alias10,alias11,alias12,alias13
compensation,damages,indemnification,indemnity,recompense,recoupment,redress,remuneration,reparation,reprisal(s),requital,restitution,money,payment
exception,challenge,complaint,demur,demurral,demurrer,difficulty,expostulation,fuss,kick,objection,protest,question,remonstrance

